java_version,scenario,profile,thread_mode,db_mode,run_class,http_reqs,reqs_per_sec,avg_ms,p90_ms,p95_ms,max_ms,failed_rate,source_file
21,aggregate-platform,stock,platform,jdbc,http,158,31.318745,12.64,14.94,15.45,29.58,0.0,results/raw/stock/java21/quarkus/aggregate-platform-summary.txt
21,aggregate-virtual,stock,virtual,jdbc,http,166,33.059207,9.36,12.18,12.4,14.29,0.0,results/raw/stock/java21/quarkus/aggregate-virtual-summary.txt
21,mixed-workload,stock,mixed,mixed,http,179,35.594739,5.14,5.08,45.66,47.28,0.0,results/raw/stock/java21/quarkus/mixed-workload-summary.txt
21,products-db,stock,request,jdbc,http,94,18.518519,6.81,6.88,7.54,138.82,0.0,results/raw/stock/java21/quarkus/products-db-summary.txt
21,products,stock,request,none,http,96,19.013971,4.01,5.3,5.94,22.19,0.0,results/raw/stock/java21/quarkus/products-summary.txt
21,transform,stock,request,none,http,96,19.188798,3.03,3.97,4.21,16.66,0.0,results/raw/stock/java21/quarkus/transform-summary.txt
17,aggregate-platform,stock,platform,synthetic,http,31832,529.691345,43.99,46.66,47.73,115.29,0.0,results/raw/java17/quarkus/aggregate-platform-summary.txt
17,products,stock,request,none,http,11560,192.426666,2.9,4.75,5.96,30.26,0.0,results/raw/java17/quarkus/products-summary.txt
17,transform,stock,request,none,http,11600,193.028596,2.32,3.52,4.03,22.83,0.0,results/raw/java17/quarkus/transform-summary.txt
25,aggregate-platform,stock,platform,synthetic,http,31740,528.548822,44.21,46.58,47.53,127.73,0.0,results/raw/java25/quarkus/aggregate-platform-summary.txt
25,aggregate-virtual,stock,virtual,synthetic,http,31486,524.05473,44.27,46.76,47.45,60.43,0.0,results/raw/java25/quarkus/aggregate-virtual-summary.txt
25,products,stock,request,none,http,11560,192.430035,2.94,5.43,6.39,39.03,0.0,results/raw/java25/quarkus/products-summary.txt
25,transform,stock,request,none,http,11600,193.134466,2.3,3.37,4.17,25.22,0.0,results/raw/java25/quarkus/transform-summary.txt
